CHI-NO,4
NO-SAC,4
MIA-NO,4
ORL-POR,4
NYK-OKC,4
CHA-GSW,4
OKC-PHI,4
LAC-OKC,4
ATL-CLE,4
MEM-NO,4
DEN-HOU,4
GSW-MIN,4
ORL-WAS,4
CLE-UTA,4
MIL-PHI,4
BRK-NO,4
CHA-MIA,4
ATL-POR,4
BRK-TOR,4
CHI-HOU,4
DET-PHO,4
HOU-PHO,4
SA-TOR,4
LAC-ORL,4
DEN-UTA,4
ATL-UTA,4
CHA-LAC,4
ATL-IND,4
HOU-ORL,4
BOS-DET,4
PHO-WAS,4
DET-ORL,4
IND-TOR,4
CHI-NYK,4
ATL-BRK,4
PHI-UTA,4
MIN-POR,4
DEN-PHI,5
MIL-ORL,5
CHI-TOR,5
CHI-OKC,5
DET-TOR,5
HOU-LAL,5
CLE-MIA,5
HOU-NO,5
CLE-LAC,5
DAL-IND,5
DEN-OKC,5
CLE-MIL,5
ATL-PHI,5
DEN-WAS,5
HOU-PHI,5
CHA-OKC,5
MIA-MIN,5
BOS-MEM,5
LAC-WAS,5
BRK-GSW,5
DAL-WAS,5
MEM-MIA,5
CHA-MIL,5
CHI-CLE,5
DEN-MIL,5
MIN-PHI,5
DAL-NYK,5
ATL-GSW,5
ATL-DAL,5
BRK-POR,5
HOU-MIL,5
BOS-DEN,5
ATL-LAC,6
ORL-PHI,6
DAL-HOU,6
DET-MIL,6
DEN-POR,6
HOU-MIN,6
BOS-OKC,6
DAL-DEN,6
BOS-PHO,6
LAC-NO,6
DEN-ORL,6
NO-WAS,6
HOU-POR,6
NO-PHI,6
MEM-ORL,6
HOU-SAC,6
BRK-PHI,6
ORL-PHO,7
CLE-ORL,7
GSW-PHI,7
CLE-POR,7
CLE-PHI,7
POR-SAC,7
HOU-NYK,8
BOS-CLE,8
HOU-MEM,10
