Player,Range,Num Rushes,Average Rush,Num TDs,Normalized Average Rush,Normalized Num Rushes,Normalized TD Rate,Normalized Num TDs
Ahman Green,1-2,37,0.8108108108108109,24,1.7302869880189466,3.408902691511387,1.3140746478740188,4.4795526039846205
Ahman Green,3-4,26,1.1923076923076923,7,0.8016595693274138,4.053722627737226,0.9565512288541334,3.8775933609958506
Ahman Green,5-6,23,2.608695652173913,3,1.1769124966166389,3.458744015770206,0.7917502787068005,2.7384615384615385
Ahman Green,7-8,26,3.269230769230769,5,1.2436998362183633,4.293135435992578,1.7227786064351163,7.396121883656511
Ahman Green,9-10,25,1.76,1,0.5865457169363983,4.129291679554593,0.53,2.1885245901639343
Ahman Green,11-12,27,2.5185185185185186,2,0.7695974927957718,4.229392783807568,1.3576264436479488,5.741935483870968
Ahman Green,13-14,30,4.166666666666667,1,1.2088758224835503,4.638100752750434,0.6853174603174603,3.178571428571429
Ahman Green,15-16,23,2.782608695652174,0,0.769015064609364,3.5212155963302756,0.0,0.0
Ahman Green,17-18,27,3.259259259259259,0,0.8940685507379791,4.354575656901238,0.0,0.0
Ahman Green,19-20,36,2.7222222222222223,1,0.7258625373539799,5.03641603353419,1.3421237693389592,6.7594936708860756
Ahman Green,21-22,37,2.810810810810811,0,0.731346766028847,5.700519330640508,0.0,0.0
Ahman Green,23-24,33,4.7272727272727275,1,1.2087193716785027,4.456752655538695,1.5361305361305364,6.846153846153846
Ahman Green,25-26,35,5.742857142857143,3,1.3911585134142326,4.560761346998536,5.165546218487395,23.558823529411764
Ahman Green,27-28,32,4.59375,0,1.1339713761985335,4.338156892612338,0.0,0.0
Ahman Green,29-30,42,3.7142857142857144,0,0.8961941774903625,5.088021778584392,0.0,0.0
Ahman Green,31-32,30,4.666666666666667,1,1.0675534689619197,3.91399951136086,2.7843537414965986,10.89795918367347
Ahman Green,33-34,32,4.84375,0,1.2086234726967398,3.9656532838245533,0.0,0.0
Ahman Green,35-36,33,4.7272727272727275,0,1.1146345638686217,3.803582991582128,0.0,0.0
Ahman Green,37-38,24,3.0416666666666665,0,0.6849657611623825,2.9673535540634406,0.0,0.0
Ahman Green,39-40,46,4.217391304347826,1,0.9934156515105026,4.97246963562753,4.2956521739130435,21.36
Ahman Green,41-42,34,3.823529411764706,0,0.8512243805072781,3.970260223048327,0.0,0.0
Ahman Green,43-44,28,5.571428571428571,0,1.286734693877551,3.082886597938144,0.0,0.0
Ahman Green,45-46,48,5.458333333333333,1,1.246686022640624,4.936825885978428,3.489247311827957,17.2258064516129
Ahman Green,47-48,24,7.25,0,1.7040365073391044,2.5652522017614094,0.0,0.0
Ahman Green,49-50,43,5.604651162790698,0,1.2673451317556632,4.061195613724797,0.0,0.0
Ahman Green,51-52,44,3.7045454545454546,0,0.8656740684777867,4.30724106324473,0.0,0.0
Ahman Green,53-54,69,5.217391304347826,0,1.2086100843754604,6.414693593314763,0.0,0.0
Ahman Green,55-56,43,4.744186046511628,0,1.0509080684111285,3.686305988120084,0.0,0.0
Ahman Green,57-58,53,3.849056603773585,0,0.8793906033380552,4.718572857619207,0.0,0.0
Ahman Green,59-60,58,4.103448275862069,1,0.9263412972945747,4.35673090448727,5.329085457271365,23.217391304347824
Ahman Green,61-62,56,5.357142857142857,0,1.1828052818173826,4.629818857408267,0.0,0.0
Ahman Green,63-64,54,8.518518518518519,1,1.8971544819686983,4.268837897853442,5.438808373590982,23.217391304347824
Ahman Green,65-66,77,5.415584415584416,1,1.181550423994135,5.503680899477981,4.851298701298702,26.7
Ahman Green,67-68,65,3.707692307692308,0,0.8279836612358198,4.915734315252797,0.0,0.0
Ahman Green,69-70,57,5.87719298245614,1,1.3100300082122838,4.027788805081382,6.977839335180056,28.10526315789474
Ahman Green,71-72,62,5.032258064516129,0,1.0950574752641773,4.559074635086753,0.0,0.0
Ahman Green,73-74,60,3.9,0,0.8620078005765643,4.916372564063218,0.0,0.0
Ahman Green,75-76,60,4.35,0,0.9674731823599524,4.292604501607717,0.0,0.0
Ahman Green,77-78,50,4.5,0,0.9910088743577767,4.71898197242842,0.0,0.0
Ahman Green,79-80,97,3.88659793814433,0,0.8567650765448422,4.094703557312252,0.0,0.0
Ahman Green,81-82,45,4.133333333333334,0,0.9057398852022961,5.7570675610924775,0.0,0.0
Ahman Green,83-84,26,8.384615384615385,1,1.8791966608190673,3.7473684210526317,35.62500000000001,133.5
Ahman Green,85-86,33,3.4242424242424243,0,0.7277029758280117,4.747306034482759,0.0,0.0
Ahman Green,87-88,34,3.588235294117647,0,0.7678988726254592,6.299791811242193,0.0,0.0
Ahman Green,89-90,28,8.285714285714286,1,1.830967389434703,4.792307692307692,18.57142857142857,89.0
Ahman Green,91-92,28,3.642857142857143,0,0.7786506176750079,6.204149377593361,0.0,0.0
Ahman Green,93-94,18,3.111111111111111,0,0.7122838787565214,5.430508474576271,0.0,0.0
Ahman Green,95-96,20,3.3,0,0.743312101910828,6.863753213367609,0.0,0.0
Ahman Green,97-98,15,9.266666666666667,1,2.249817578772803,6.565573770491804,40.66666666666667,267.0
Ahman Green,99-100,6,2.1666666666666665,0,0.7419614147909968,7.521126760563381,NaN,NaN
Marshawn Lynch,1-2,37,0.2702702702702703,19,0.5767623293396489,3.408902691511387,1.0403090962335981,3.546312478154491
Marshawn Lynch,3-4,47,1.6170212765957446,19,1.0872198414488468,7.327883211678833,1.436280568553015,10.524896265560166
Marshawn Lynch,5-6,27,2.7037037037037037,3,1.2197753591477387,4.060264714165024,0.6744539411206077,2.7384615384615385
