Player,Range,Num Rushes,Average Rush,Num TDs,Normalized Average Rush,Normalized Num Rushes,Normalized TD Rate,Normalized Num TDs
Ahman Green,1-2,37,0.8108108108108109,24,1.662304077706645,0.6738759248719408,1.2921492921492923,0.8707482993197279
Ahman Green,3-4,27,1.2962962962962963,7,0.8859520313264806,0.7955801104972375,0.8909985935302391,0.7088607594936709
Ahman Green,5-6,28,2.5357142857142856,5,1.1104954550555493,0.8035874439461883,1.010696156635243,0.8121827411167513
Ahman Green,7-8,27,3.185185185185185,5,1.1974201406189449,0.8588469184890656,1.6199677938808372,1.391304347826087
Ahman Green,9-10,27,1.2962962962962963,1,0.44397368856317665,0.8665997993981946,0.45031616982836487,0.3902439024390244
Ahman Green,11-12,30,2.5,2,0.7640273426374253,0.8946877912395154,1.3006060606060605,1.1636363636363636
Ahman Green,13-14,33,4.303030303030303,1,1.1816783216783215,0.9859943977591037,0.5071022727272727,0.5
Ahman Green,15-16,26,2.6538461538461537,0,0.7214717684960154,0.7495495495495496,0.0,0.0
Ahman Green,17-18,28,3.142857142857143,0,0.86524002313476,0.8784313725490196,0.0,0.0
Ahman Green,19-20,40,3.075,1,0.7544909274193549,1.0517666392769105,1.126851851851852,1.1851851851851851
Ahman Green,21-22,39,2.8974358974358974,0,0.7350241680437191,1.1874405328258801,0.0,0.0
Ahman Green,23-24,38,4.2894736842105265,1,1.0878600996874208,0.9620253164556962,1.3859649122807016,1.3333333333333333
Ahman Green,25-26,36,5.611111111111111,3,1.3232203114200918,0.8937160589604345,4.882575757575758,4.363636363636363
Ahman Green,27-28,35,4.885714285714286,0,1.2236240691603186,0.8931419457735247,0.0,0.0
Ahman Green,29-30,47,4.382978723404255,0,1.000360620266859,1.0843547224224945,0.0,0.0
Ahman Green,31-32,32,4.34375,1,0.967024886877828,0.832520325203252,2.5625,2.1333333333333333
Ahman Green,33-34,39,4.615384615384615,0,1.0717494894486044,0.9512195121951219,0.0,0.0
Ahman Green,35-36,33,4.7272727272727275,0,1.0929799130254712,0.7431386347642506,0.0,0.0
Ahman Green,37-38,27,2.8518518518518516,0,0.5971963004437808,0.6600458365164248,0.0,0.0
Ahman Green,39-40,49,4.36734693877551,1,0.9758681789154621,1.0309007232084155,3.880102040816326,4.0
Ahman Green,41-42,37,3.945945945945946,0,0.8141861318331907,0.8654970760233918,0.0,0.0
Ahman Green,43-44,34,6.176470588235294,0,1.3266269396424568,0.7258172114743162,0.0,0.0
Ahman Green,45-46,51,5.392156862745098,1,1.1646111142520994,1.0375079465988557,2.203081232492997,2.2857142857142856
Ahman Green,47-48,30,6.466666666666667,0,1.5292723116993567,0.6473364801078894,0.0,0.0
Ahman Green,49-50,46,5.521739130434782,0,1.2207036755936245,0.8302312464749013,0.0,0.0
Ahman Green,51-52,46,3.9565217391304346,0,0.8547876418500939,0.9171339563862928,0.0,0.0
Ahman Green,53-54,73,5.095890410958904,0,1.1115753939256714,1.340987370838117,0.0,0.0
Ahman Green,55-56,45,4.777777777777778,0,1.0458372310570627,0.7692307692307692,0.0,0.0
Ahman Green,57-58,55,3.8545454545454545,0,0.8214311368389917,0.9596510359869138,0.0,0.0
Ahman Green,59-60,58,4.103448275862069,1,0.862072252406825,0.8421052631578947,3.8,3.2
Ahman Green,61-62,58,5.051724137931035,0,1.0428225642263058,0.9830508474576272,0.0,0.0
Ahman Green,63-64,57,8.280701754385966,1,1.7659653492386012,0.8875912408759125,3.277511961722488,2.909090909090909
Ahman Green,65-66,78,5.487179487179487,1,1.148781432779248,1.085217391304348,3.6858974358974357,4.0
Ahman Green,67-68,66,3.696969696969697,0,0.781632362776875,0.997638167217761,0.0,0.0
Ahman Green,69-70,59,6.711864406779661,1,1.4364737694688343,0.8201563857515204,4.877118644067797,4.0
Ahman Green,71-72,64,5.203125,0,1.0691484743957775,0.9229382604776927,0.0,0.0
Ahman Green,73-74,62,3.8225806451612905,0,0.7740949702129618,0.9979879275653923,0.0,0.0
Ahman Green,75-76,60,4.35,0,0.9366216216216214,0.8926080892608089,0.0,0.0
Ahman Green,77-78,51,4.509803921568627,0,0.9581229880011707,0.8957189901207464,0.0,0.0
Ahman Green,79-80,100,3.95,0,0.8334664187267558,0.8294453084499741,0.0,0.0
Ahman Green,81-82,46,4.065217391304348,0,0.8371279004549325,1.1384377416860016,0.0,0.0
Ahman Green,83-84,27,8.185185185185185,1,1.7956797463337297,0.7804878048780488,13.666666666666666,10.666666666666666
Ahman Green,85-86,34,3.323529411764706,0,0.6830264847337382,0.9792979297929792,0.0,0.0
Ahman Green,87-88,34,3.588235294117647,0,0.6952348817155926,1.1929824561403508,0.0,0.0
Ahman Green,89-90,28,8.285714285714286,1,1.8228185238206214,0.9491525423728814,11.238095238095237,10.666666666666666
Ahman Green,91-92,28,3.642857142857143,0,0.7220161586485494,1.1621271076523996,0.0,0.0
Ahman Green,93-94,18,3.111111111111111,0,0.6969088719389802,1.032258064516129,0.0,0.0
Ahman Green,95-96,20,3.3,0,0.7117647058823529,1.2929292929292928,0.0,0.0
Ahman Green,97-98,15,9.266666666666667,1,2.248389307745031,1.3559322033898304,23.599999999999998,32.0
Ahman Green,99-100,6,2.1666666666666665,0,0.8440695296523517,1.5118110236220472,NaN,NaN
Marshawn Lynch,1-2,50,0.22,24,0.45103850641773635,0.910643141718839,0.9561904761904761,0.8707482993197279
Marshawn Lynch,3-4,52,1.4807692307692308,19,1.0120298203998643,1.5322283609576428,1.2557205452775073,1.9240506329113924
