Player,Range,Num Rushes,Normalized Average Rush,Normalized Num Rushes,Normalized TD Rate,Normalized Num TDs
Ahman Green,1-5,75,1.0206988352745425,0.704225352112676,1.119384141647421,0.7882986913010008
Ahman Green,6-10,71,0.907581153059184,0.8899334116725421,1.2272268422823631,1.0921501706484642
Ahman Green,11-15,77,0.9942864799165463,0.9012435991221653,0.7448914721641995,0.6713286713286714
Ahman Green,16-20,80,0.7467952626641652,0.9285455204932898,0.4475649350649351,0.4155844155844156
Ahman Green,21-25,98,0.9415297092288243,1.0527022490768714,1.0482054890921884,1.103448275862069
Ahman Green,26-30,97,1.1872187158748078,0.9503980404164115,1.432770344373766,1.3617021276595744
Ahman Green,31-35,88,0.9675596705477806,0.8577520560462991,0.9099223946784922,0.7804878048780488
Ahman Green,36-40,92,0.9372885133353808,0.8387464387464387,1.4130434782608694,1.1851851851851851
Ahman Green,41-45,103,1.1597093473613753,0.8881703045001348,1.0917917034421887,0.9696969696969697
Ahman Green,46-50,95,1.2231977088976902,0.7628607277289837,0.0,0.0
Ahman Green,51-55,147,1.0069561250962167,1.0717703349282297,0.0,0.0
Ahman Green,56-60,130,0.8832867740426386,0.8545603944124898,1.7831501831501835,1.5238095238095237
Ahman Green,61-65,156,1.3640414420221603,0.9657573998839234,3.155677655677655,3.0476190476190474
Ahman Green,66-70,162,1.072589253351371,0.9437465865647188,1.8837448559670782,1.7777777777777777
Ahman Green,71-75,164,0.945713212876614,0.9796527907410865,0.0,0.0
Ahman Green,76-80,173,0.8621849836345797,0.8286184702888789,0.0,0.0
Ahman Green,81-85,90,1.0484554060787243,0.9473684210526316,3.753086419753086,3.5555555555555554
Ahman Green,86-90,79,1.110662543379041,1.086377309840997,4.909282700421941,5.333333333333333
Ahman Green,91-95,58,0.7497325111102231,1.1485148514851484,0.0,0.0
Ahman Green,96-100,29,1.4727875483193815,1.3468795355587808,11.879310344827585,16.0
Marshawn Lynch,1-5,114,0.9865428963423534,1.0704225352112675,1.0126007860297395,1.0839107005388762
Marshawn Lynch,6-10,89,0.8063010294925693,1.1155503329416372,0.8811212946274494,0.9829351535836177
Marshawn Lynch,11-15,89,0.8666932415121166,1.041697147037308,1.7185511118095387,1.7902097902097902
Marshawn Lynch,16-20,114,0.9800730719857805,1.323177366702938,1.2563226247436774,1.6623376623376624
Marshawn Lynch,21-25,94,1.1541829005112756,1.00973481033904,2.185619955979457,2.206896551724138
Marshawn Lynch,26-30,91,0.7706386252885354,0.8916105327617881,0.0,0.0
Marshawn Lynch,31-35,110,1.157958812151553,1.072190070057874,0.7279379157427937,0.7804878048780488
Marshawn Lynch,36-40,126,0.8219398280034649,1.1487179487179486,1.0317460317460316,1.1851851851851851
Marshawn Lynch,41-45,100,1.1224917246889623,0.8623012665049852,0.0,0.0
Marshawn Lynch,46-50,118,1.0440557044680465,0.9475533249686323,0.0,0.0
Marshawn Lynch,51-55,111,0.9212448828792872,0.8092959671907041,0.0,0.0
Marshawn Lynch,56-60,129,1.1475023403983053,0.847986852917009,1.7969730527870063,1.5238095238095237
Marshawn Lynch,61-65,145,0.8744217688983275,0.89765912168698,0.0,0.0
Marshawn Lynch,66-70,137,1.0643977638145872,0.7981066812306572,0.0,0.0
Marshawn Lynch,71-75,115,0.9312240249360615,0.6869516520440545,0.0,0.0
Marshawn Lynch,76-80,220,1.1167478993545843,1.0537344708875918,3.374242424242424,3.5555555555555554
Marshawn Lynch,81-85,94,0.8066978341761282,0.9894736842105263,0.0,0.0
Marshawn Lynch,86-90,69,1.0331978551180028,0.9488611946712505,0.0,0.0
Marshawn Lynch,91-95,50,1.0735882580146774,0.9900990099009901,0.0,0.0
Marshawn Lynch,96-100,30,1.3725439247710962,1.3933236574746009,0.0,0.0
Ray Rice,1-5,60,0.7718247365501941,0.5633802816901409,0.8307929176289452,0.4680523479599692
Ray Rice,6-10,48,1.3195808834074287,0.6016451233842538,1.9968003412969282,1.2013651877133107
Ray Rice,11-15,54,0.9434092477570738,0.6320409656181419,0.35405335405335403,0.22377622377622375
Ray Rice,16-20,59,1.1572614239832097,0.6848023213638013,0.0,0.0
Ray Rice,21-25,58,0.7910597755921221,0.6230278616985565,0.885552913198573,0.5517241379310345
Ray Rice,26-30,84,0.7985603146105839,0.8230251071647274,0.0,0.0
Ray Rice,31-35,57,1.03322867034085,0.5555893999390802,2.8095849379546425,1.5609756097560976
Ray Rice,36-40,63,0.7801462774270175,0.5743589743589743,0.0,0.0
Ray Rice,41-45,74,0.829991331361038,0.638102937213689,0.0,0.0
Ray Rice,46-50,72,1.0310421896331528,0.578168130489335,0.0,0.0
Ray Rice,51-55,81,1.0461817335195902,0.5905673274094327,2.462962962962963,1.4545454545454546
Ray Rice,56-60,103,1.15178359046165,0.6770747740345111,2.250577901063338,1.5238095238095237
Ray Rice,61-65,107,0.9923828525221251,0.6624105242793576,0.0,0.0
Ray Rice,66-70,120,1.0282355320952454,0.6990715456034954,2.5430555555555556,1.7777777777777777
Ray Rice,71-75,114,1.0941584967320261,0.6809781594175845,0.0,0.0
Ray Rice,76-80,151,1.0428359848886481,0.7232450232001197,0.0,0.0
Ray Rice,81-85,59,1.010868739074257,0.6210526315789473,0.0,0.0
Ray Rice,86-90,36,0.8575640316933849,0.4950580146110872,0.0,0.0
Ray Rice,91-95,24,0.858246427191966,0.4752475247524752,0.0,0.0
Ray Rice,96-100,5,0.767260579064588,0.23222060957910018,0.0,0.0
LaDainian Tomlinson,1-5,204,1.1813643926788686,1.915492957746479,1.1831725761898293,2.2663587374903775
