cle,2004,4-12-0,4.9-11.1
cle,2005,6-10-0,5.6-10.4
cle,2006,4-12-0,4.4-11.6
cle,2007,10-6-0,8.5-7.5
cle,2008,4-12-0,4.4-11.6
cle,2009,5-11-0,4.3-11.7
cle,2010,5-11-0,6.1-9.9
cle,2011,4-12-0,4.9-11.1
cle,2012,5-11-0,6.2-9.8
cle,2013,4-12-0,5.5-10.5
cle,2014,7-9-0,6.9-9.1
clt,1988,9-7-0,9.1-6.9
clt,1989,8-8-0,7.9-8.1
clt,1990,7-9-0,5.9-10.1
clt,1991,1-15-0,1.4-14.6
clt,1992,9-7-0,5.0-11.0
clt,1993,4-12-0,2.6-13.4
clt,1994,8-8-0,7.6-8.4
clt,1995,9-7-0,8.4-7.6
clt,1996,9-7-0,7.5-8.5
clt,1997,3-13-0,5.7-10.3
clt,1998,3-13-0,4.8-11.2
clt,1999,13-3-0,10.2-5.8
clt,2000,10-6-0,10.5-5.5
clt,2001,6-10-0,6.5-9.5
clt,2002,10-6-0,9.0-7.0
clt,2003,12-4-0,10.6-5.4
clt,2004,12-4-0,11.5-4.5
clt,2005,14-2-0,12.7-3.3
clt,2006,12-4-0,9.6-6.4
clt,2007,13-3-0,12.5-3.5
clt,2008,12-4-0,10.2-5.8
clt,2009,14-2-0,10.8-5.2
clt,2010,10-6-0,9.1-6.9
clt,2011,2-14-0,3.3-12.7
clt,2012,11-5-0,7.2-8.8
clt,2013,11-5-0,9.4-6.6
clt,2014,11-5-0,10.0-6.0
dal,1988,3-13-0,4.8-11.2
dal,1989,1-15-0,2.8-13.2
dal,1990,7-9-0,5.8-10.2
dal,1991,11-5-0,8.9-7.1
dal,1992,13-3-0,12.4-3.6
dal,1993,12-4-0,12.2-3.8
dal,1994,12-4-0,12.3-3.7
dal,1995,12-4-0,11.5-4.5
dal,1996,10-6-0,9.3-6.7
dal,1997,6-10-0,7.7-8.3
dal,1998,10-6-0,10.9-5.1
dal,1999,8-8-0,10.2-5.8
dal,2000,5-11-0,6.1-9.9
dal,2001,5-11-0,5.1-10.9
dal,2002,5-11-0,4.3-11.7
dal,2003,10-6-0,9.0-7.0
dal,2004,6-10-0,5.1-10.9
dal,2005,9-7-0,8.5-7.5
dal,2006,9-7-0,9.8-6.2
dal,2007,13-3-0,11.0-5.0
dal,2008,9-7-0,7.9-8.1
dal,2009,11-5-0,11.3-4.7
dal,2010,6-10-0,7.0-9.0
dal,2011,8-8-0,8.6-7.4
dal,2012,8-8-0,7.4-8.6
dal,2013,8-8-0,8.2-7.8
dal,2014,12-4-0,10.6-5.4
den,1988,8-8-0,7.3-8.7
den,1989,11-5-0,12.1-3.9
den,1990,5-11-0,6.9-9.1
den,1991,12-4-0,10.4-5.6
den,1992,8-8-0,5.9-10.1
den,1993,9-7-0,10.5-5.5
den,1994,7-9-0,6.8-9.2
den,1995,8-8-0,9.1-6.9
den,1996,13-3-0,11.2-4.8
den,1997,12-4-0,12.2-3.8
den,1998,14-2-0,12.1-3.9
den,1999,6-10-0,7.9-8.1
den,2000,11-5-0,10.5-5.5
den,2001,8-8-0,8.0-8.0
den,2002,9-7-0,9.2-6.8
den,2003,10-6-0,10.2-5.8
den,2004,10-6-0,10.1-5.9
den,2005,13-3-0,11.7-4.3
den,2006,9-7-0,8.4-7.6
den,2007,7-9-0,5.7-10.3
den,2008,8-8-0,6.2-9.8
den,2009,8-8-0,8.1-7.9
den,2010,4-12-0,5.2-10.8
den,2011,8-8-0,5.8-10.2
den,2012,13-3-0,12.3-3.7
den,2013,13-3-0,11.7-4.3
den,2014,12-4-0,10.8-5.2
det,1988,4-12-0,4.8-11.2
det,1989,7-9-0,6.6-9.4
det,1990,6-10-0,7.0-9.0
det,1991,12-4-0,9.3-6.7
det,1992,5-11-0,6.2-9.8
det,1993,10-6-0,8.2-7.8
det,1994,9-7-0,8.4-7.6
det,1995,10-6-0,10.4-5.6
det,1996,5-11-0,6.2-9.8
det,1997,9-7-0,10.0-6.0
det,1998,5-11-0,6.0-10.0
det,1999,8-8-0,8.0-8.0
det,2000,9-7-0,8.0-8.0
det,2001,2-14-0,4.1-11.9
det,2002,3-13-0,4.6-11.4
det,2003,5-11-0,4.9-11.1
det,2004,6-10-0,6.4-9.6
det,2005,5-11-0,5.2-10.8
det,2006,3-13-0,5.6-10.4
det,2007,7-9-0,5.7-10.3
det,2008,0-16-0,2.8-13.2
det,2009,2-14-0,2.9-13.1
det,2010,6-10-0,7.8-8.2
det,2011,10-6-0,9.9-6.1
det,2012,4-12-0,6.5-9.5
det,2013,7-9-0,8.5-7.5
det,2014,11-5-0,9.2-6.8
gnb,1988,4-12-0,5.5-10.5
gnb,1989,10-6-0,8.2-7.8
gnb,1990,6-10-0,5.7-10.3
gnb,1991,4-12-0,6.7-9.3
gnb,1992,9-7-0,7.3-8.7
gnb,1993,9-7-0,9.7-6.3
gnb,1994,9-7-0,10.6-5.4
gnb,1995,11-5-0,10.3-5.7
gnb,1996,13-3-0,13.8-2.2
gnb,1997,13-3-0,11.6-4.4
gnb,1998,11-5-0,10.3-5.7
gnb,1999,8-8-0,8.4-7.6
gnb,2000,9-7-0,8.8-7.2
gnb,2001,12-4-0,11.4-4.6
gnb,2002,12-4-0,9.8-6.2
gnb,2003,10-6-0,11.3-4.7
gnb,2004,10-6-0,9.0-7.0
gnb,2005,4-12-0,6.7-9.3
gnb,2006,8-8-0,6.2-9.8
gnb,2007,13-3-0,11.5-4.5
gnb,2008,6-10-0,8.9-7.1
gnb,2009,11-5-0,11.8-4.2
gnb,2010,10-6-0,12.1-3.9
gnb,2011,15-1-0,11.9-4.1
gnb,2012,11-5-0,10.3-5.7
gnb,2013,8-7-1,7.8-8.2
gnb,2014,12-4-0,11.0-5.0
htx,2002,4-12-0,3.7-12.3
htx,2003,5-11-0,4.5-11.5
htx,2004,7-9-0,7.1-8.9
htx,2005,2-14-0,3.7-12.3
htx,2006,6-10-0,5.1-10.9
htx,2007,8-8-0,7.9-8.1
htx,2008,8-8-0,7.3-8.7
htx,2009,9-7-0,9.4-6.6
htx,2010,6-10-0,7.1-8.9
htx,2011,10-6-0,10.9-5.1
htx,2012,12-4-0,10.1-5.9
htx,2013,2-14-0,4.2-11.8
htx,2014,9-7-0,9.8-6.2
jax,1995,4-12-0,4.6-11.4
jax,1996,9-7-0,7.7-8.3
jax,1997,11-5-0,10.0-6.0
jax,1998,11-5-0,9.4-6.6
jax,1999,14-2-0,12.9-3.1
jax,2000,7-9-0,9.1-6.9
jax,2001,6-10-0,8.3-7.7
jax,2002,6-10-0,8.4-7.6
jax,2003,5-11-0,6.3-9.7
jax,2004,9-7-0,7.3-8.7
jax,2005,12-4-0,10.7-5.3
jax,2006,8-8-0,10.8-5.2
jax,2007,11-5-0,10.7-5.3
jax,2008,5-11-0,6.2-9.8
jax,2009,7-9-0,5.5-10.5
jax,2010,8-8-0,6.4-9.6
jax,2011,5-11-0,5.2-10.8
jax,2012,2-14-0,3.4-12.6
jax,2013,4-12-0,3.1-12.9
jax,2014,3-13-0,3.7-12.3
kan,1988,4-11-1,5.9-10.1
kan,1989,8-7-1,9.0-7.0
kan,1990,11-5-0,11.2-4.8
kan,1991,10-6-0,10.3-5.7
kan,1992,10-6-0,10.0-6.0
kan,1993,11-5-0,9.1-6.9
kan,1994,9-7-0,8.6-7.4
kan,1995,13-3-0,11.5-4.5
kan,1996,9-7-0,7.9-8.1
kan,1997,13-3-0,12.1-3.9
kan,1998,7-9-0,7.0-9.0
kan,1999,9-7-0,9.8-6.2
kan,2000,7-9-0,8.0-8.0
kan,2001,6-10-0,7.3-8.7
kan,2002,8-8-0,9.5-6.5
kan,2003,13-3-0,11.4-4.6
kan,2004,7-9-0,9.0-7.0
kan,2005,10-6-0,10.0-6.0
kan,2006,9-7-0,8.5-7.5
